accession	tax_id	description	scientific_name	last_updated	base_count	first_public
MN267966	55946	Drosophila recens isolate R_HI_3 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267973	55946	Drosophila recens isolate R_NB_3 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267965	55946	Drosophila recens isolate R_SM_28 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267985	198725	Drosophila subquinaria isolate S_HI_14 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
MN267964	55946	Drosophila recens isolate R_SM_2 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN267992	198725	Drosophila subquinaria isolate S_KA_85 ADH-related protein (ADH-R) gene, partial cds.	Drosophila subquinaria	2019-08-23	552	2019-08-23
AF006565	7234	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	Drosophila persimilis	2005-04-15	3462	1997-09-11
LC165381	1052065	Drosophila hypercephala Adh gene, partial cds.	Drosophila hypercephala	2019-06-04	555	2019-06-04
X66526	7263	D.arizona Adh-1 promoter region	Drosophila arizonae	1994-04-01	225	1994-04-01
X13812	7262	D.affinidisjuncta Adh gene for alcohol dehydrogenase	Drosophila affinidisjuncta	2006-11-14	3886	1992-04-21
X62229	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3494	1992-10-16
X62217	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3468	1992-10-16
X62218	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3486	1992-10-16
X62223	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3477	1992-10-16
X62190	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3485	1992-10-16
X62224	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3474	1992-10-16
X64468	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3476	1992-10-16
X64487	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3474	1992-10-16
X62210	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3454	1992-10-16
X62235	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3479	1992-10-16
X62183	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16
X55390	7241	D.pseudobscura DNA for Adh retrosequence 135	Drosophila subobscura	2004-09-09	1611	1992-12-17
X55391	7241	D.subobscura DNA for Adh retrosequence 812	Drosophila subobscura	2004-09-09	3700	1992-12-17
X62196	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3479	1992-10-16
X62211	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3475	1992-10-16
X62221	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3483	1992-10-16
X62232	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16
X64470	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3498	1992-10-16
X64476	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase	Drosophila pseudoobscura	2006-11-14	3457	1992-10-16
AY006415	32382	Drosophila heteroneura alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila heteroneura	2005-09-26	510	2001-09-04
AY750119	65966	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tsigana	2006-07-20	911	2005-12-31
AY750145	311478	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila bai	2006-07-20	911	2005-12-31
DQ471631	381453	Drosophila beppui alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila beppui	2006-07-20	711	2006-07-20
DQ471660	7224	Drosophila hydei alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila hydei	2006-07-20	711	2006-07-20
AY750131	311475	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila yunnanensis	2006-07-20	911	2005-12-31
HQ631475	111875	Drosophila jambulina alcohol dehydrogenase (adh) gene, partial cds.	Drosophila jambulina	2012-01-02	290	2011-08-30
HQ631480	307242	Drosophila ohnishii alcohol dehydrogenase (adh) gene, partial cds.	Drosophila ohnishii	2012-01-02	290	2011-08-30
LC165389	1870888	Drosophila oshimai Adh gene, partial cds, strain: MT1004.	Drosophila oshimai	2019-06-04	359	2019-06-04
M36580	7227	D.melanogaster alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila melanogaster	2006-11-14	2686	1990-08-30
AF059888	7221	Drosophila funebris alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila funebris	2005-04-15	290	1998-04-28
AY750120	65966	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tsigana	2006-07-20	911	2005-12-31
AY750137	311482	Drosophila pseudosordidula alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila pseudosordidula	2006-07-20	911	2005-12-31
HQ631478	233251	Drosophila madikerii alcohol dehydrogenase (adh) gene, partial cds.	Drosophila madikerii	2012-01-02	290	2011-08-30
LC165373	47315	Drosophila auraria Adh gene, partial cds, strain: A662.	Drosophila auraria	2019-06-04	558	2019-06-04
M60998	7229	Drosophila miranda alcohol dehydrogenase (adh) gene, complete cds.	Drosophila miranda	2006-11-14	3461	1992-04-30
AF081357	7259	Drosophila tolteca alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tolteca	2005-04-15	425	1999-01-18
AY006418	46895	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila cyrtoloma	2005-09-26	510	2001-09-04
AY750126	30041	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila polychaeta	2006-07-20	911	2005-12-31
DQ471635	381471	Drosophila quadrisetata alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila quadrisetata	2006-07-20	711	2006-07-20
DQ471637	381475	Drosophila velox alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila velox	2006-07-20	711	2006-07-20
DQ471663	40371	Drosophila lummei alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila lummei	2006-07-20	711	2006-07-20
AY750141	311478	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila bai	2006-07-20	911	2005-12-31
X68164	7237	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS309)	Drosophila pseudoobscura	2006-11-14	3443	1992-10-08
GQ376033	244254	Drosophila bunnanda alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila bunnanda	2009-08-03	410	2009-08-02
U26844	40372	Drosophila texana alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila americana texana	2005-04-17	950	1995-07-05
U26841	40369	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila lacicola	2005-04-17	957	1995-06-30
AB261139	66368	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	Drosophila guttifera	2007-11-03	845	2007-11-03
AB932675	95625	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.	Drosophila subpalustris	2014-10-26	849	2014-10-26
U95253	7260	Drosophila willistoni W3L alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1172	1999-01-06
X57375	7245	Drosophila yakuba (individual k) Adh gene for alcohol dehydrogenase	Drosophila yakuba	2006-11-14	975	1991-07-17
AB932649	106246	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.	Drosophila brachynephros	2015-01-14	1100	2015-01-14
AB932657	30031	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.	Drosophila ornatifrons	2014-10-26	824	2014-10-26
AB932665	119223	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.	Drosophila orientacea	2015-01-14	857	2015-01-14
M37262	7262	D.affinidisjuncta alcohol dehydrogenase (adh) gene, exons 1-4.	Drosophila affinidisjuncta	2006-11-14	3886	1990-09-07
X57369	7245	Drosophila yakuba (individual e) Adh gene for alcohol dehydrogenase	Drosophila yakuba	2006-11-14	975	1991-07-17
AB932658	66368	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	Drosophila guttifera	2014-10-26	845	2014-10-26
AB932667	7283	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.	Drosophila phalerata	2014-10-26	822	2014-10-26
EU532131	529088	Drosophila tropicalis tropicalis alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tropicalis tropicalis	2010-01-21	560	2010-01-21
LC578831	95623	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.	Drosophila palustris	2022-04-25	706	2022-04-03
U26846	7244	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.	Drosophila virilis	2006-11-14	13087	1995-06-22
U76468	54075	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	Drosophila eohydei	2005-04-18	899	1996-11-19
AB932656	7221	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.	Drosophila funebris	2014-10-26	845	2014-10-26
X78916	7227	D.melanogaster Adh gene (null activity) exon1 intron2 boundary	Drosophila melanogaster	2006-11-14	33	1994-05-03
EU532132	529087	Drosophila tropicalis cubana alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila tropicalis cubana	2010-01-21	590	2010-01-21
U26840	40369	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.	Drosophila lacicola	2005-04-17	957	1995-06-30
U95255	7260	Drosophila willistoni Atlixco alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1174	1999-01-06
X57373	7245	Drosophila yakuba (individual i) Adh gene for alcohol dehydrogenase	Drosophila yakuba	2006-11-14	975	1991-07-17
AY335197	46791	Drosophila sucinea clone Dsuc3 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila sucinea	2005-04-16	781	2003-12-31
DQ471615	381448	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila angor	2006-07-20	711	2006-07-20
EU532127	46793	Drosophila paulistorum from Guyana alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila paulistorum	2010-01-21	587	2010-01-21
MK017217	95625	UNVERIFIED: Drosophila subpalustris adh-related-like (Adhr) gene, partial sequence.	Drosophila subpalustris	2018-12-05	495	2018-12-05
MK017223	141217	UNVERIFIED: Drosophila tripunctata adh-related-like (Adhr) gene, partial sequence.	Drosophila tripunctata	2018-12-05	495	2018-12-05
U95261	7260	Drosophila willistoni Manaus I alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1172	1999-01-06
AF284475	7226	Drosophila mauritiana strain 152 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	2006-11-14	701	2000-11-02
AY095949	7283	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila phalerata	2008-12-16	430	2003-05-01
DQ471650	311475	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila yunnanensis	2006-07-20	711	2006-07-20
HQ110510	7271	Drosophila nebulosa isolate D_nebu_c2 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila nebulosa	2011-06-02	794	2011-05-06
LC165374	7249	Drosophila azteca Adh gene, partial cds, strain: 14012-0171.03.	Drosophila azteca	2019-06-04	559	2019-06-04
MK017200	133978	UNVERIFIED: Drosophila acutilabella adh-related-like (Adhr) gene, partial sequence.	Drosophila acutilabella	2018-12-05	473	2018-12-05
MK017210	198721	UNVERIFIED: Drosophila nigromaculata adh-related-like (Adhr) gene, partial sequence.	Drosophila nigromaculata	2018-12-05	495	2018-12-05
MK017214	95624	UNVERIFIED: Drosophila quinaria adh-related-like (Adhr) gene, partial sequence.	Drosophila quinaria	2018-12-05	495	2018-12-05
X78917	7227	D.melanogaster Adh gene (fn46 mutant) for alcohol dehydrogenase (partial)	Drosophila melanogaster	2008-10-23	96	1994-05-03
AF284479	7226	Drosophila mauritiana strain Lig74 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	2006-11-14	703	2000-11-02
DQ471651	119604	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila lacertosa	2006-07-20	711	2006-07-20
EU532130	46793	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila paulistorum	2010-01-21	588	2010-01-21
HQ110509	7271	Drosophila nebulosa isolate D_nebu_c1 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila nebulosa	2011-06-02	794	2011-05-06
KX375415	125945	Drosophila biarmipes strain IND_DBR_U4 alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila biarmipes	2017-01-03	1022	2017-01-03
M62741	7263	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	Drosophila arizonae	2006-11-14	909	1991-07-11
M62851	7277	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	Drosophila wheeleri	2006-11-14	924	1991-04-10
MK017202	106246	UNVERIFIED: Drosophila brachynephros adh-related-like (Adhr) gene, partial sequence.	Drosophila brachynephros	2018-12-05	495	2018-12-05
MK017218	198725	UNVERIFIED: Drosophila subquinaria adh-related-like (Adhr) gene, partial sequence.	Drosophila subquinaria	2018-12-05	495	2018-12-05
AY095944	126591	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila curvispina	2008-12-16	443	2003-05-01
DQ471626	30041	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila polychaeta	2006-07-20	711	2006-07-20
M60979	7237	Drosophila pseudoobscura (strain AH43) alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura	2006-11-14	3481	1992-04-30
MK017211	198722	UNVERIFIED: Drosophila occidentalis adh-related-like (Adhr) gene, partial sequence.	Drosophila occidentalis	2018-12-05	495	2018-12-05
U95262	7260	Drosophila willistoni Manaus II alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1172	1999-01-06
U95264	7260	Drosophila willistoni Manaus IV alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila willistoni	2005-04-18	1172	1999-01-06
AB669832	1084812	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: OKNH2K.	Drosophila neoasahinai	2014-01-02	837	2014-01-02
AB669866	109356	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: SWB196.	Drosophila leontia	2014-01-02	832	2014-01-02
AF136657	95109	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF459757	114631	Drosophila greeni alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila greeni	2006-11-14	290	2002-05-16
KJ767238	7227	Drosophila melanogaster strain Canton S alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanogaster	2014-10-29	872	2014-09-04
LC057803	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: SS99.	Drosophila nasuta	2015-06-26	851	2015-06-26
LC057804	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: TNR35.	Drosophila nasuta	2015-06-26	851	2015-06-26
AB669836	137068	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KT4.	Drosophila subauraria	2014-01-02	842	2014-01-02
AB669851	111875	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: F76.	Drosophila jambulina	2014-01-02	831	2014-01-02
AF459776	34677	Drosophila tsacasi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila tsacasi	2006-11-14	290	2002-05-16
AF459777	137353	Drosophila baimaii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila baimaii	2006-11-14	290	2002-05-16
EF216311	7281	Drosophila microlabis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila microlabis	2010-09-07	370	2007-06-10
LC057779	7291	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KKU204.	Drosophila albomicans	2015-06-26	846	2015-06-26
LC057797	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: K33.	Drosophila nasuta	2015-06-26	851	2015-06-26
AB669837	137068	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: ONM29.	Drosophila subauraria	2014-01-02	842	2014-01-02
AB669846	73917	Drosophila seguyi Adh gene for alcohol dehydrogenase, partial cds, strain: K59.	Drosophila seguyi	2014-01-02	835	2014-01-02
AB669854	60717	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: NHO122.	Drosophila punjabiensis	2014-01-02	836	2014-01-02
AB669856	94109	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: SWB248.	Drosophila watanabei	2014-01-02	826	2014-01-02
AB669879	7274	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: Q122.	Drosophila serrata	2014-01-02	839	2014-01-02
AF136685	95109	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF136690	95109	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF459744	7246	Drosophila affinis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila affinis	2006-11-14	290	2002-05-16
AF459755	30050	Drosophila varians alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila varians	2006-11-14	290	2002-05-16
AF459769	137354	Drosophila barbarae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila barbarae	2006-11-14	290	2002-05-16
AF459773	67532	Drosophila quadraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila quadraria	2006-11-14	290	2002-05-16
AF459778	73155	Drosophila biauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila biauraria	2006-11-14	290	2002-05-16
AF459782	137077	Drosophila parvula alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila parvula	2006-11-14	290	2002-05-16
AM181670	103775	Drosophila gunungcola partial adh gene for alcohol dehydrogenase, exons 1-3	Drosophila gunungcola	2006-11-14	628	2006-02-15
LC057801	42062	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: NHO8.	Drosophila nasuta	2015-06-26	851	2015-06-26
EU999243	40366	Drosophila americana isolate FP99.45 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana	2008-09-09	845	2008-09-09
AB669826	47315	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A662.	Drosophila auraria	2014-01-02	843	2014-01-02
AB669869	307244	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN3.	Drosophila ogumai	2014-01-02	837	2014-01-02
AB669871	307242	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY309.	Drosophila ohnishii	2014-01-02	844	2014-01-02
AF136669	95109	Drosophila americana americana G96.27X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF136680	95109	Drosophila americana americana G96.21Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF136707	40372	Drosophila americana texana LP97.07 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana texana	2005-04-15	884	1999-06-03
AB669831	1084812	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: KMJM37.	Drosophila neoasahinai	2014-01-02	838	2014-01-02
AF136691	95109	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
AF459770	46829	Drosophila birchii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila birchii	2006-11-14	290	2002-05-16
AF136662	95109	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
EF560578	306030	Drosophila viracochi pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	Drosophila viracochi	2008-07-12	624	2008-05-01
U76472	7224	Drosophila hydei strain 4 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	Drosophila hydei	2005-04-18	897	1996-11-19
AF459779	137072	Drosophila kanapiae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila kanapiae	2006-11-14	290	2002-05-16
AF136679	95109	Drosophila americana americana D.am-.0Y alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana americana	2005-04-15	884	1999-06-03
LC057204	1660392	Drosophila sp. 14028-0511.00 Adh gene for alcohol dehydrogenase, partial cds.	Drosophila sp. 14028-0511.00	2019-06-04	838	2019-06-04
AY102216	7243	Drosophila teissieri strain Br7 jingwei (jgw) gene, adh-derived region, partial cds.	Drosophila teissieri	2005-04-16	724	2002-06-20
AY340282	40366	Drosophila americana pop-variant DN01.02X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana	2005-04-16	881	2003-08-13
M60989	46244	Drosophila pseudoobscura (subsp. bogotana, strain BOGER) alcohol dehydrogenase (adh) gene, complete cds.	Drosophila pseudoobscura bogotana	2008-10-03	3479	1992-01-26
AB669860	103765	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: IR2-37.	Drosophila bocki	2014-01-02	831	2014-01-02
AB669884	1084936	Drosophila fengkainensis Adh gene for alcohol dehydrogenase, partial cds, strain: const-MTK.	Drosophila fengkainensis	2014-01-02	841	2014-01-02
AB703315	7246	Drosophila affinis Adh gene for alcohol dehydrogenase, partial cds, clone: D.affinis.	Drosophila affinis	2012-03-18	405	2012-03-18
AH011593	29029	Drosophila eugracilis strain 4026-0451.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila eugracilis	2016-04-08	566	2016-04-08
AY102224	7243	Drosophila teissieri strain chiri9 jingwei (jgw) gene, adh-derived region, partial cds.	Drosophila teissieri	2005-04-16	724	2002-06-20
AY874375	7241	Drosophila subobscura strain line 36 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	Drosophila subobscura	2005-05-31	1406	2005-05-31
EF216310	426742	Drosophila dianensis alcohol dehydrogenase (Adh) gene, exons 2, 3 and partial cds.	Drosophila dianensis	2010-09-07	429	2007-06-10
LC057199	94114	Drosophila trilutea Adh gene for alcohol dehydrogenase, partial cds, strain: VT05-ST.	Drosophila trilutea	2019-06-04	831	2019-06-04
X54813	7216	D.ambigua gene for alcohol dehydrogenase (ADH) (EC 1.1.1.1)	Drosophila ambigua	2006-11-14	4185	1991-07-23
AY102220	7243	Drosophila teissieri strain chi2 jingwei (jgw) gene, adh-derived region, partial cds.	Drosophila teissieri	2005-04-16	724	2002-06-20
AY340281	40366	Drosophila americana pop-variant DN01.01X alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila americana	2005-04-16	881	2003-08-13
AY874363	7241	Drosophila subobscura strain line 3a alcohol dehydrogenase (Adh-Twain) gene, partial cds.	Drosophila subobscura	2005-05-31	1425	2005-05-31
AB669867	74550	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: BG3146.1.	Drosophila lini	2014-01-02	844	2014-01-02
